,http://campus.unibo.it/237670/1/Marchi%20Declino%20e%20rigenerazione.pdf,Marchi%20Declino%20e%20rigenerazione.pdf,849a57a8ab52be9fecde33d0d191b6d1,PDF,"{'/Creator': 'pdfsam-console (Ver. 2.4.0e)', '/Producer': 'iText 2.1.7 by 1T3XT', '/ModDate': ""D:20121114140802+01'00'"", '/CreationDate': ""D:20121114140802+01'00'""}"
,http://campus.unibo.it/121007/1/Marchi%20Declino%20e%20rigenerazione.pdf,Marchi%20Declino%20e%20rigenerazione.pdf,849a57a8ab52be9fecde33d0d191b6d1,PDF,"{'/Creator': 'pdfsam-console (Ver. 2.4.0e)', '/Producer': 'iText 2.1.7 by 1T3XT', '/ModDate': ""D:20121114140802+01'00'"", '/CreationDate': ""D:20121114140802+01'00'""}"
,http://campus.unibo.it/161199/1/Marchi%20Declino%20e%20rigenerazione.pdf,Marchi%20Declino%20e%20rigenerazione.pdf,849a57a8ab52be9fecde33d0d191b6d1,PDF,"{'/Creator': 'pdfsam-console (Ver. 2.4.0e)', '/Producer': 'iText 2.1.7 by 1T3XT', '/ModDate': ""D:20121114140802+01'00'"", '/CreationDate': ""D:20121114140802+01'00'""}"
,http://campus.unibo.it/289123/1/Marchi%20Declino%20e%20rigenerazione.pdf,Marchi%20Declino%20e%20rigenerazione.pdf,849a57a8ab52be9fecde33d0d191b6d1,PDF,"{'/Creator': 'pdfsam-console (Ver. 2.4.0e)', '/Producer': 'iText 2.1.7 by 1T3XT', '/ModDate': ""D:20121114140802+01'00'"", '/CreationDate': ""D:20121114140802+01'00'""}"
7,http://campus.unibo.it/274430/1/LEA%20gravidanza%202017.pdf,LEA%20gravidanza%202017.pdf,4450a221b8e5b9b5a2b87c8bb78e1003,PDF,"{'/ModDate': ""D:20170320085208+01'00'"", '/Producer': '3-Heights(TM) PDF Producer 4.3.24.0 (http://www.pdf-tools.com)', '/Author': 'Istituto Poligrafico e Zecca dello Stato', '/Creator': 'IPZS', '/CreationDate': 'D:20170318082142Z'}"
,http://campus.unibo.it/325545/1/02f_LEA%20gravidanza%202017.pdf,02f_LEA%20gravidanza%202017.pdf,4450a221b8e5b9b5a2b87c8bb78e1003,PDF,"{'/ModDate': ""D:20170320085208+01'00'"", '/Producer': '3-Heights(TM) PDF Producer 4.3.24.0 (http://www.pdf-tools.com)', '/Author': 'Istituto Poligrafico e Zecca dello Stato', '/Creator': 'IPZS', '/CreationDate': 'D:20170318082142Z'}"
8,https://ocw.mit.edu/courses/biology/7-29j-cellular-neurobiology-spring-2012/lecture-notes/MIT7_29JS12_lecture10.pdf,MIT7_29JS12_lecture10.pdf,525d5d480f7fcf2466ebbc084327699c,PDF,"{'/Author': 'Lee, Wyan-Ching Mimi', '/CreationDate': ""D:20130408162512+05'30'"", '/Creator': 'PScript5.dll Version 5.2.2', '/ModDate': ""D:20130408170809+05'30'"", '/Producer': 'Acrobat Distiller 9.5.2 (Windows)', '/Title': 'Lecture 10 Notes'}"
,https://ocw.mit.edu/courses/biology/7-29j-cellular-neurobiology-spring-2012/lecture-notes/MIT7_29JS12_lecture1.pdf,MIT7_29JS12_lecture1.pdf,a3d9a01a592754f084ad7f4a648b2d11,PDF,"{'/Author': 'Lee, Wyan-Ching Mimi', '/CreationDate': ""D:20130408160744+05'30'"", '/Creator': 'PScript5.dll Version 5.2.2', '/ModDate': ""D:20130408170922+05'30'"", '/Producer': 'Acrobat Distiller 9.5.2 (Windows)', '/Title': 'Lecture 1 Notes'}"
9,https://ocw.mit.edu/courses/biology/7-29j-cellular-neurobiology-spring-2012/lecture-notes/MIT7_29JS12_lecture20.pdf,MIT7_29JS12_lecture20.pdf,07108fbe7a236efd2e72508e19e79303,PDF,"{'/Author': 'Lee, Wyan-Ching Mimi', '/CreationDate': ""D:20130408175739+05'30'"", '/Creator': 'PScript5.dll Version 5.2.2', '/ModDate': ""D:20130408181023+05'30'"", '/Producer': 'Acrobat Distiller 9.5.2 (Windows)', '/Title': 'Lecture 20 Notes'}"
,https://ocw.mit.edu/courses/biology/7-29j-cellular-neurobiology-spring-2012/lecture-notes/MIT7_29JS12_lecture15.pdf,MIT7_29JS12_lecture15.pdf,eeb9f1b48b623d3bb3ea155123e1ffe1,PDF,"{'/Author': 'Lee, Wyan-Ching Mimi', '/CreationDate': ""D:20130408174923+05'30'"", '/Creator': 'PScript5.dll Version 5.2.2', '/ModDate': ""D:20130408175131+05'30'"", '/Producer': 'Acrobat Distiller 9.5.2 (Windows)', '/Title': 'Lecture 15 Notes'}"
