textblob,time,polyglot,time,chardet,time,langDedect,time,guess_language,time,langid,time,fasttext,time,cld2,time,spacy,time,nltkDetect,time,whatlang,time,langua
True,0.16,True,0.0,False,0.03,True,0.02,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.15,True,1.93,True,0.06,True,0.21
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.17,True,1.28,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.15,True,0.98,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.21,True,0.52,True,0.06,True,0.2
True,0.16,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.1,True,0.99,True,0.06,True,0.2
True,0.19,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.15,True,0.85,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.1,True,0.99,True,0.06,True,0.21
True,0.16,True,0.0,False,0.02,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.19,True,1.7,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.1,True,0.88,True,0.06,True,0.2
True,0.37,True,0.0,False,0.02,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.19,True,1.69,True,0.06,True,0.2
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.24,True,1.65,True,0.06,True,0.21
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.12,True,0.64,True,0.06,True,0.2
True,0.18,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.14,True,1.2,True,0.06,True,0.2
True,0.16,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.22,True,1.88,True,0.07,True,0.26
True,0.32,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.46,True,2.09,True,0.06,True,0.21
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.95,True,1.29,True,0.06,True,0.21
True,0.16,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,12.11,True,1.52,True,0.06,True,0.21
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.87,True,1.08,True,0.06,True,0.22
True,0.15,True,0.0,False,0.0,True,0.01,UNKNOWN,0.0,True,0.0,True,0.0,True,0.0,True,11.71,True,1.13,True,0.06,True,0.21
