polyglot,time,langDedect,time,langid,time,fasttext,time
7,0.0003,3,0.0266,3,0.0027,7,0.0003
7,0.0003,3,0.0293,3,0.0049,7,0.0007
1,0.0001,7,0.0309,3,0.0025,7,0.0003
1,0.0001,7,0.049,7,0.0022,7,0.0002
1,0.0001,1,0.0237,1,0.0019,1,0.0002
7,0.0002,3,0.0228,3,0.0026,7,0.0003
2,0.0001,3,0.0241,3,0.0024,7,0.0002
1,0.0001,7,0.0432,2,0.002,7,0.0002
7,0.0002,3,0.02,3,0.0036,7,0.0004
7,0.0002,3,0.0242,3,0.0036,7,0.0004
7,0.0001,3,0.0188,0,0.0024,7,0.0002
1,0.0001,2,0.0339,2,0.0021,7,0.0002
7,0.0002,3,0.021,3,0.0036,7,0.0004
7,0.0001,3,0.0193,3,0.0027,7,0.0003
1,0.0001,1,0.0509,1,0.0022,1,0.0002
1,0.0001,7,0.037,7,0.0021,7,0.0002
7,0.0003,3,0.0852,3,0.0024,3,0.0003
7,0.0001,3,0.038,3,0.0025,3,0.0003
7,0.0001,3,0.0257,3,0.0029,3,0.0003
7,0.0001,3,0.0318,3,0.0027,3,0.0003
7,0.0001,3,0.0437,3,0.0027,3,0.0003
3,0.0003,7,0.0321,3,0.0023,3,0.0002
7,0.0002,3,0.0347,3,0.0038,3,0.0005
7,0.0001,3,0.0412,3,0.0026,3,0.0002
1,0.0003,7,0.0831,3,0.0052,7,0.0002
1,0.0001,1,0.0526,1,0.0021,7,0.0002
7,0.0001,3,0.0293,3,0.0025,3,0.0003
7,0.0002,3,0.0257,3,0.0031,3,0.0005
7,0.0001,3,0.0319,3,0.0025,7,0.0003
7,0.0002,3,0.048,3,0.0027,3,0.0003
7,0.0001,3,0.0324,7,0.002,3,0.0002
7,0.0002,2,0.068,7,0.0025,3,0.0003
7,0.0005,3,0.0323,3,0.0034,3,0.0005
7,0.0002,3,0.0349,3,0.0036,3,0.0005
7,0.0001,7,0.0502,7,0.0022,7,0.0003
2,0.0001,7,0.0356,7,0.0023,3,0.0002
7,0.0002,1,0.0251,7,0.0023,2,0.0003
