polyglot,time,langDedect,time,langid,time,fasttext,time
7,0.0002,3,0.233,3,1.1104,7,0.0003
7,0.0002,3,0.0246,3,0.0022,7,0.0003
7,0.0001,3,0.0258,3,0.0021,3,0.0002
7,0.0001,7,0.0431,7,0.0023,7,0.0003
7,0.0001,3,0.0282,3,0.0025,3,0.0003
7,0.0001,3,0.0288,3,0.0024,7,0.0003
7,0.0001,3,0.0512,7,0.0024,3,0.0003
7,0.0001,3,0.0293,7,0.0022,3,0.0003
2,0.0001,7,0.0518,7,0.0023,3,0.0002
7,0.0001,7,0.0377,3,0.0022,3,0.0002
7,0.0001,3,0.0439,1,0.0022,3,0.0003
7,0.0001,3,0.0288,3,0.0024,3,0.0003
7,0.0001,3,0.0185,3,0.0024,3,0.0003
7,0.0001,3,0.0198,3,0.0027,3,0.0003
7,0.0001,3,0.0335,3,0.0026,3,0.0003
7,0.0001,7,0.0329,3,0.0025,7,0.0003
7,0.0001,3,0.0247,3,0.0024,3,0.0003
7,0.0001,3,0.0302,3,0.0025,3,0.0003
7,0.0001,3,0.0234,3,0.0026,3,0.0003
7,0.0001,7,0.0452,3,0.0025,1,0.0003
7,0.0002,3,0.0476,3,0.0027,3,0.0003
7,0.0001,3,0.0407,3,0.0051,3,0.0003
7,0.0002,3,0.0269,3,0.0028,3,0.0003
7,0.0001,3,0.0321,3,0.0027,3,0.0003
7,0.0001,3,0.0439,3,0.0027,3,0.0003
7,0.0001,3,0.0441,3,0.0026,3,0.0003
2,0.0001,7,0.0428,3,0.0028,3,0.0003
1,0.0005,3,0.0619,3,0.0026,3,0.0003
7,0.0001,3,0.0348,3,0.0027,7,0.0003
7,0.0001,7,0.0595,3,0.0027,3,0.0003
7,0.0002,3,0.0289,3,0.0022,7,0.0003
1,0.0004,3,0.139,3,0.0015,3,0.0003
1,0.0004,3,0.0385,3,0.0023,3,0.0003
7,0.0001,3,0.0419,3,0.0025,3,0.0003
7,0.0001,3,0.04,3,0.0024,3,0.0003
7,0.0001,3,0.1128,3,0.0023,3,0.0003
7,0.0004,3,0.0856,3,0.0021,3,0.0003
7,0.0001,3,0.0337,3,0.0023,3,0.0003
7,0.0001,3,0.0834,3,0.0024,3,0.0003
1,0.0001,1,0.0796,0,0.0023,3,0.0003
7,0.0001,3,0.0234,7,0.0025,7,0.0003
2,0.0001,3,0.0293,3,0.0026,7,0.0003
7,0.0001,3,0.0268,7,0.0024,7,0.0003
7,0.0001,3,0.0269,3,0.0025,7,0.0003
7,0.0001,7,0.0405,7,0.0024,7,0.0002
7,0.0001,3,0.0312,3,0.0026,7,0.0003
2,0.0001,3,0.0368,3,0.0026,7,0.0003
7,0.0001,7,0.0405,7,0.0026,7,0.0003
7,0.0001,7,0.0321,3,0.0026,7,0.0003
7,0.0001,3,0.0198,3,0.0027,7,0.0003
7,0.0001,3,0.0247,3,0.0027,7,0.0003
