polyglot,time,langDedect,time,langid,time,fasttext,time
0,0.0099,7,0.2651,0,1.1102,7,0.0002
3,0.0033,3,0.0178,3,0.0017,7,0.0002
3,0.0015,3,0.0268,3,0.0015,3,0.0002
7,0.001,7,0.042,3,0.0016,3,0.0002
3,0.0001,3,0.0229,3,0.0017,3,0.0002
3,0.0004,3,0.0231,3,0.0016,3,0.0002
3,0.0003,3,0.0204,3,0.0018,3,0.0002
3,0.0001,3,0.0211,3,0.0018,7,0.0002
3,0.0003,3,0.0185,3,0.0018,3,0.0002
3,0.0002,3,0.0125,3,0.0017,3,0.0002
3,0.0001,3,0.0206,3,0.0019,3,0.0002
3,0.0001,3,0.0181,3,0.0017,3,0.0002
3,0.0001,3,0.0225,3,0.0018,3,0.0002
3,0.0001,3,0.0236,3,0.0018,3,0.0002
3,0.0001,3,0.0615,3,0.0018,1,0.0002
3,0.0001,3,0.0179,3,0.0018,3,0.0002
3,0.0001,3,0.0154,3,0.0018,3,0.0002
3,0.0001,3,0.0251,3,0.0018,3,0.0002
3,0.0001,3,0.0228,3,0.0018,3,0.0002
3,0.0001,3,0.0238,3,0.0017,3,0.0002
0,0.0004,7,0.0659,3,0.0019,3,0.0002
3,0.0002,3,0.0234,3,0.0019,3,0.0002
3,0.0001,3,0.0186,3,0.0018,3,0.0002
3,0.0001,3,0.0175,3,0.0019,3,0.0002
3,0.0001,3,0.0171,3,0.0019,3,0.0002
3,0.0001,3,0.0364,3,0.0017,3,0.0002
3,0.003,3,0.0171,3,0.0053,3,0.0002
3,0.0004,3,0.0205,3,0.002,3,0.0002
3,0.0003,3,0.0286,3,0.002,3,0.0002
3,0.0003,3,0.0467,3,0.0019,3,0.0002
3,0.0001,3,0.057,3,0.0017,3,0.0002
3,0.0001,3,0.0338,3,0.0017,3,0.0002
3,0.0001,3,0.027,3,0.0018,3,0.0002
3,0.0001,3,0.022,3,0.0018,3,0.0002
3,0.0001,3,0.0396,3,0.0017,3,0.0002
3,0.0001,3,0.0175,3,0.0016,3,0.0002
3,0.0001,3,0.02,3,0.0017,3,0.0002
3,0.0003,3,0.0204,3,0.0016,3,0.0002
3,0.0001,3,0.0277,3,0.0017,3,0.0002
3,0.0001,3,0.0171,3,0.0018,3,0.0002
0,0.0001,0,0.0141,0,0.0016,1,0.0002
3,0.0001,3,0.0282,3,0.0016,3,0.0002
3,0.0001,3,0.0177,3,0.0017,7,0.0002
3,0.0001,3,0.0216,3,0.0017,3,0.0002
0,0.0003,0,0.0217,0,0.0016,1,0.0002
3,0.0001,3,0.0126,3,0.0018,3,0.0002
3,0.0001,3,0.0256,3,0.002,3,0.0002
0,0.0003,0,0.0162,0,0.0017,1,0.0002
3,0.0001,3,0.0146,3,0.0019,3,0.0002
0,0.0001,0,0.0175,0,0.0016,1,0.0002
3,0.0001,3,0.0126,3,0.0018,3,0.0002
3,0.0001,3,0.0117,3,0.0019,7,0.0002
3,0.0001,3,0.0193,3,0.0018,3,0.0002
3,0.0001,3,0.0138,3,0.0019,7,0.0002
3,0.0004,3,0.0212,0,0.002,3,0.0002
3,0.0001,3,0.0148,3,0.0018,7,0.0002
3,0.0001,3,0.0111,3,0.0019,3,0.0002
3,0.0001,3,0.0134,3,0.0021,7,0.0002
3,0.0001,3,0.0138,3,0.0033,7,0.0002
3,0.0001,3,0.0124,3,0.0022,7,0.0002
3,0.0001,3,0.0192,3,0.0019,3,0.0002
0,0.0003,3,0.0726,3,0.002,3,0.0002
3,0.0001,3,0.0112,3,0.0019,7,0.0002
3,0.0001,3,0.0147,3,0.0018,3,0.0002
3,0.0001,3,0.0115,3,0.0019,7,0.0002
3,0.0001,3,0.019,3,0.002,3,0.0002
3,0.0001,3,0.0136,3,0.0021,7,0.0002
3,0.0001,3,0.0113,3,0.0018,3,0.0002
3,0.0001,3,0.0142,3,0.0018,7,0.0002
3,0.0001,3,0.0196,3,0.002,3,0.0002
7,0.0002,3,0.0357,3,0.0027,3,0.0004
7,0.0002,3,0.033,3,0.003,3,0.0003
7,0.0002,3,0.0261,3,0.0027,7,0.0004
7,0.0001,3,0.0223,3,0.0026,3,0.0003
7,0.0002,3,0.0274,3,0.0026,3,0.0004
7,0.0001,3,0.0327,3,0.0028,3,0.0004
7,0.0001,3,0.0301,3,0.0027,7,0.0004
7,0.0002,3,0.0299,3,0.0027,7,0.0003
7,0.0001,3,0.0332,3,0.0027,3,0.0004
7,0.0001,3,0.0268,3,0.0025,3,0.0003
7,0.0002,3,0.0237,3,0.003,3,0.0004
7,0.0002,3,0.0316,3,0.0028,3,0.0004
7,0.0002,3,0.0289,3,0.0028,3,0.0004
7,0.0002,3,0.0291,3,0.0027,3,0.0004
7,0.0002,3,0.0272,3,0.0028,3,0.0004
7,0.0002,3,0.0351,3,0.0028,3,0.0004
7,0.0002,3,0.0236,3,0.0029,3,0.0004
7,0.0002,3,0.0253,3,0.0029,3,0.0005
7,0.0002,3,0.0351,3,0.0027,3,0.0004
7,0.0002,3,0.0226,3,0.0028,3,0.0004
7,0.0002,3,0.0307,3,0.0032,3,0.0004
7,0.0002,3,0.028,3,0.0035,3,0.0004
7,0.0002,3,0.0347,3,0.0032,3,0.0004
7,0.0002,3,0.0304,3,0.0033,3,0.0004
7,0.0002,7,0.0298,3,0.0032,3,0.0006
7,0.0002,3,0.033,3,0.0028,3,0.0003
7,0.0002,3,0.023,3,0.0032,3,0.0004
7,0.0002,3,0.0262,3,0.003,3,0.0004
2,0.0002,3,0.0335,3,0.0033,3,0.0004
7,0.0002,3,0.0251,3,0.0032,3,0.0004
7,0.0001,3,0.048,3,0.0027,3,0.0004
7,0.0001,3,0.0319,3,0.0027,3,0.0004
7,0.0002,3,0.0231,3,0.0024,3,0.0004
7,0.0001,3,0.0307,3,0.0025,3,0.0004
7,0.0005,3,0.043,1,0.0025,3,0.0004
7,0.0001,3,0.057,0,0.0026,3,0.0004
7,0.0002,3,0.0273,3,0.0025,3,0.0004
7,0.0001,3,0.0584,3,0.0025,3,0.0004
7,0.0002,3,0.0374,3,0.0026,3,0.0004
7,0.0001,3,0.0285,3,0.0024,3,0.0004
7,0.0002,3,0.0252,3,0.0031,7,0.0004
7,0.0002,3,0.02,3,0.0029,7,0.0004
7,0.0002,3,0.0223,3,0.0028,7,0.0003
7,0.0002,3,0.0394,3,0.0034,7,0.0004
7,0.0002,3,0.0208,3,0.0031,7,0.0004
7,0.0002,3,0.0265,3,0.003,7,0.0004
7,0.0002,3,0.021,3,0.0031,7,0.0004
7,0.0002,7,0.0249,3,0.003,7,0.0004
7,0.0002,3,0.0209,3,0.0029,7,0.0004
7,0.0002,3,0.0265,3,0.0029,7,0.0004
7,0.0002,3,0.0369,3,0.0031,7,0.0004
7,0.0002,3,0.0228,3,0.0032,7,0.0004
7,0.0002,3,0.0201,3,0.0044,7,0.0004
7,0.0002,3,0.0248,3,0.003,7,0.0004
7,0.0002,3,0.0208,3,0.0034,7,0.0004
7,0.0002,3,0.019,3,0.003,7,0.0004
7,0.0002,3,0.0267,3,0.0033,7,0.0004
7,0.0002,3,0.022,3,0.003,7,0.0004
7,0.0002,3,0.0236,3,0.0032,7,0.0004
7,0.0002,3,0.0193,3,0.0033,7,0.0004
7,0.0002,3,0.0181,3,0.0034,7,0.0004
7,0.0002,3,0.0244,3,0.003,3,0.0004
7,0.0002,3,0.0239,3,0.0033,7,0.0004
7,0.0002,3,0.0222,3,0.0033,3,0.0004
7,0.0002,3,0.0262,3,0.0029,7,0.0004
7,0.0002,3,0.0206,3,0.0036,7,0.0004
7,0.0002,3,0.0297,3,0.0033,7,0.0004
7,0.0002,3,0.0245,3,0.0031,7,0.0004
7,0.0002,3,0.0213,3,0.0036,7,0.0004
7,0.0002,3,0.0207,3,0.0034,7,0.0006
7,0.0001,3,0.0198,3,0.0019,3,0.0002
3,0.0001,3,0.0203,3,0.0024,3,0.0002
7,0.0001,3,0.0204,3,0.0019,3,0.0002
7,0.0001,3,0.0268,3,0.0021,3,0.0002
3,0.0001,3,0.0376,3,0.0019,7,0.0002
7,0.0001,3,0.0192,3,0.0019,7,0.0002
7,0.0001,3,0.0204,3,0.0018,3,0.0002
7,0.0001,3,0.0242,3,0.0019,3,0.0002
7,0.0001,3,0.0225,3,0.0019,7,0.0002
1,0.0001,3,0.0243,3,0.0019,7,0.0002
3,0.0001,3,0.0246,3,0.0019,3,0.0002
3,0.0001,3,0.0216,3,0.0125,3,0.0002
3,0.0001,3,0.0227,3,0.0021,3,0.0002
3,0.0001,3,0.0264,3,0.002,3,0.0002
3,0.0001,3,0.0178,3,0.0019,3,0.0002
3,0.0001,3,0.0293,3,0.0019,3,0.0002
3,0.0001,3,0.0237,3,0.0018,3,0.0002
3,0.0001,3,0.0219,3,0.0022,3,0.0003
3,0.0001,3,0.0233,3,0.0021,3,0.0002
3,0.0001,3,0.0287,3,0.0017,3,0.0002
7,0.0001,3,0.019,3,0.0022,3,0.0002
3,0.0001,3,0.0248,3,0.0019,3,0.0002
1,0.0003,1,0.1156,3,0.002,3,0.0002
1,0.0003,3,0.0278,3,0.002,3,0.0002
3,0.0001,3,0.0308,3,0.0019,3,0.0002
1,0.0003,3,0.0277,3,0.0021,3,0.0002
3,0.0001,3,0.0204,3,0.002,3,0.0002
3,0.0001,3,0.0202,3,0.0022,3,0.0002
1,0.0004,3,0.0229,3,0.0022,3,0.0002
1,0.0003,0,0.0958,0,0.0019,1,0.0002
1,0.0001,1,0.0942,1,0.0017,2,0.0002
1,0.0001,3,0.1209,2,0.001,1,0.0002
3,0.0001,3,0.0511,3,0.0018,3,0.0002
3,0.0001,3,0.0183,3,0.0017,3,0.0002
3,0.0001,3,0.0267,3,0.0018,3,0.0002
1,0.0004,3,0.0419,0,0.0019,3,0.0002
3,0.0001,3,0.0191,3,0.0018,3,0.0002
3,0.0001,3,0.0172,3,0.0017,3,0.0002
3,0.0001,3,0.0278,3,0.0017,3,0.0002
3,0.0001,3,0.0434,3,0.0018,3,0.0002
1,0.0003,3,0.0248,3,0.002,3,0.0002
3,0.0001,3,0.0167,3,0.0038,3,0.0003
3,0.0001,3,0.0212,3,0.002,3,0.0002
1,0.0001,1,0.029,1,0.0018,2,0.0002
3,0.0001,3,0.0205,3,0.002,3,0.0002
3,0.0001,3,0.0197,3,0.0018,3,0.0002
3,0.0003,3,0.0164,3,0.0019,3,0.0002
3,0.0001,3,0.016,3,0.0019,7,0.0002
3,0.0001,3,0.0225,3,0.0019,3,0.0002
1,0.0003,2,0.051,3,0.0019,7,0.0002
3,0.0001,3,0.0334,0,0.002,3,0.0002
3,0.0001,3,0.0118,3,0.0021,7,0.0002
3,0.0001,3,0.0154,3,0.0019,7,0.0002
3,0.0001,3,0.0225,3,0.002,7,0.0002
2,0.0004,3,0.019,1,0.0019,3,0.0002
3,0.0001,3,0.0214,3,0.0018,7,0.0002
3,0.0001,3,0.0156,3,0.0019,7,0.0002
3,0.0001,3,0.014,3,0.002,7,0.0002
7,0.0003,3,0.0173,3,0.002,7,0.0002
3,0.0001,3,0.0212,3,0.0019,7,0.0004
7,0.0001,3,0.0161,3,0.002,7,0.0002
3,0.0002,3,0.0147,3,0.0021,7,0.0002
3,0.0001,3,0.026,3,0.002,7,0.0002
3,0.0003,3,0.0198,3,0.0025,3,0.0002
2,0.0004,3,0.0212,3,0.002,3,0.0002
2,0.0001,3,0.017,3,0.0022,3,0.0002
1,0.0001,3,0.0259,3,0.0021,3,0.0002
3,0.0001,3,0.0213,3,0.002,7,0.0002
1,0.0001,3,0.0243,3,0.0018,3,0.0002
3,0.0001,3,0.0217,3,0.0021,3,0.0002
3,0.0001,3,0.0211,3,0.002,7,0.0002
7,0.0001,3,0.0178,3,0.002,3,0.0002
3,0.0001,3,0.0204,3,0.002,7,0.0002
2,0.0001,3,0.0195,3,0.0019,7,0.0002
3,0.0001,3,0.0187,3,0.0018,7,0.0002
2,0.0001,3,0.0178,3,0.0018,7,0.0002
2,0.0001,3,0.0179,3,0.002,7,0.0002
3,0.0001,3,0.0172,3,0.002,7,0.0002
7,0.0001,3,0.021,3,0.002,7,0.0002
7,0.0001,3,0.0196,3,0.002,7,0.0002
3,0.0001,3,0.021,3,0.0022,7,0.0002
7,0.0001,3,0.044,3,0.0021,3,0.0004
7,0.0003,3,0.0393,3,0.0021,3,0.0003
3,0.0001,3,0.022,3,0.002,3,0.0002
3,0.0001,3,0.022,3,0.0021,3,0.0002
3,0.0001,3,0.0236,3,0.0021,3,0.0002
3,0.0001,3,0.0207,3,0.0021,3,0.0002
3,0.0001,7,0.037,3,0.0017,3,0.0002
3,0.0001,3,0.0196,3,0.0036,7,0.0002
3,0.0001,3,0.047,3,0.0019,3,0.0002
3,0.0001,3,0.028,3,0.0021,3,0.0002
3,0.0001,3,0.0212,3,0.0022,3,0.0004
3,0.0001,3,0.0248,3,0.0021,3,0.0002
3,0.0004,3,0.035,3,0.0021,3,0.0002
1,0.0003,3,0.0241,3,0.0021,3,0.0002
3,0.0001,3,0.028,3,0.002,3,0.0002
1,0.0001,1,0.0198,1,0.0018,1,0.0002
3,0.0001,3,0.0174,3,0.0022,3,0.0002
7,0.0001,3,0.0338,3,0.002,3,0.0002
1,0.0004,3,0.029,3,0.0026,3,0.0002
3,0.0001,3,0.0242,3,0.0022,3,0.0002
1,0.0001,1,0.0331,0,0.0018,7,0.0002
