textblob,time,polyglot,time,langDedect,time,guess_language,time,langid,time,fasttext,time,cld2,time,nltkDetect,time,whatlang,time,langua
True,0.17,True,0.0,True,0.01,True,0.01,True,0.01,True,0.0,True,0.0,True,1.41,True,0.06,True,0.21
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,2.01,True,0.06,True,0.22
True,0.16,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,2.15,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.31,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,False,1.49,True,0.06,True,0.2
True,0.16,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.1,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.24,True,0.06,True,0.23
True,0.15,True,0.0,True,0.02,True,0.0,True,0.0,True,0.0,True,0.0,True,0.97,True,0.06,True,0.22
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.91,True,0.06,True,0.22
True,0.15,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,1.18,True,0.06,True,0.22
True,0.15,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,1.27,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,1.09,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.01,True,0.0,True,0.0,True,0.0,True,1.2,True,0.06,True,0.2
True,0.15,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,False,0.54,True,0.06,True,0.2
True,0.14,True,0.0,True,0.01,True,0.0,True,0.0,True,0.0,True,0.0,True,0.69,True,0.06,True,0.2
True,0.16,True,0.0,True,0.02,True,0.01,True,0.0,True,0.0,True,0.0,True,2.15,True,0.06,True,0.2
