polyglot,time,langDedect,time,langid,time,fasttext,time
7,0.0147,7,0.2593,3,1.1552,7,0.0006
7,0.0002,3,0.0308,3,0.0031,7,0.0004
7,0.0003,3,0.0347,3,0.0032,7,0.0004
7,0.0002,3,0.0408,3,0.0034,7,0.0004
7,0.0004,3,0.025,3,0.003,7,0.0003
7,0.0004,7,0.0352,3,0.0049,7,0.0007
7,0.0002,3,0.0404,3,0.0045,7,0.0006
7,0.0002,7,0.0392,3,0.0047,7,0.0005
3,0.0002,3,0.0228,3,0.0029,7,0.0004
7,0.0002,3,0.0226,3,0.0029,7,0.0003
7,0.0002,3,0.0238,3,0.0033,7,0.0005
7,0.0002,3,0.0261,3,0.0034,7,0.0005
7,0.0002,3,0.0374,1,0.0037,7,0.0005
7,0.0002,3,0.0489,3,0.0042,7,0.0006
7,0.0002,3,0.0235,3,0.0032,7,0.0004
7,0.0002,3,0.0217,3,0.0031,7,0.0004
7,0.0002,3,0.0237,3,0.0032,7,0.0004
7,0.0002,3,0.0422,3,0.0043,7,0.0008
7,0.0002,3,0.0259,3,0.0033,7,0.0005
7,0.0033,3,0.0275,3,0.0034,7,0.0005
7,0.0002,7,0.0491,3,0.0036,7,0.0005
7,0.0002,3,0.0234,3,0.003,7,0.0004
7,0.0002,3,0.0246,3,0.003,3,0.0004
7,0.0002,3,0.0221,3,0.0029,7,0.0004
7,0.0004,3,0.0609,3,0.0055,3,0.0012
7,0.0003,7,0.05,3,0.0035,7,0.0005
3,0.0002,3,0.0203,3,0.003,3,0.0004
7,0.0002,3,0.0253,3,0.0031,7,0.0004
7,0.0002,3,0.0231,3,0.003,3,0.0004
7,0.0002,3,0.0251,3,0.003,3,0.0004
7,0.0002,2,0.0436,2,0.0037,2,0.0005
7,0.0002,3,0.0329,3,0.0035,7,0.0004
7,0.0002,7,0.0499,7,0.0037,7,0.0005
7,0.0002,7,0.0411,7,0.0044,7,0.0006
7,0.0002,7,0.0353,3,0.0101,7,0.0005
3,0.0002,3,0.0195,3,0.003,3,0.0004
7,0.0002,3,0.03,3,0.0034,7,0.0004
7,0.0002,3,0.0227,3,0.0033,7,0.0004
7,0.0002,3,0.0379,3,0.0036,7,0.0005
7,0.0002,3,0.0381,3,0.0034,2,0.0004
7,0.0002,7,0.0383,2,0.0038,2,0.0005
7,0.0002,3,0.0243,3,0.0032,7,0.0004
2,0.0002,2,0.0513,2,0.0046,2,0.0006
7,0.0002,3,0.0299,7,0.0034,7,0.0004
7,0.0002,7,0.0364,3,0.0033,2,0.0004
7,0.0002,3,0.0341,7,0.0038,2,0.0004
7,0.0002,3,0.0309,7,0.0034,7,0.0004
7,0.0002,3,0.0214,3,0.003,7,0.0004
7,0.0002,3,0.0266,3,0.0034,2,0.0004
2,0.0002,3,0.0334,7,0.0039,2,0.0006
7,0.0002,3,0.0319,3,0.0037,7,0.0004
