polyglot,time,langDedect,time,langid,time,fasttext,time
1,0.0003,3,0.2497,3,1.1142,7,0.0002
3,0.0002,3,0.0417,3,0.0018,7,0.0002
7,0.0002,3,0.0215,3,0.0027,7,0.0003
2,0.0003,3,0.0231,3,0.0018,7,0.0002
7,0.0001,3,0.0183,3,0.0018,7,0.0002
7,0.0002,3,0.0156,3,0.0017,7,0.0002
7,0.0001,7,0.0389,7,0.0021,3,0.0002
7,0.0002,3,0.023,3,0.003,7,0.0004
2,0.0003,3,0.031,3,0.0025,7,0.0003
7,0.0001,3,0.0202,3,0.0019,7,0.0002
7,0.0002,3,0.0363,3,0.0031,3,0.0005
7,0.0001,3,0.0243,3,0.0021,3,0.0003
3,0.0001,3,0.0287,3,0.0018,3,0.0002
7,0.0001,3,0.0506,3,0.0019,1,0.0003
2,0.0002,3,0.0386,3,0.0021,3,0.0003
7,0.0003,3,0.0271,3,0.002,3,0.0003
7,0.0001,3,0.0349,3,0.0021,3,0.0003
7,0.0001,3,0.0286,3,0.0023,3,0.0003
3,0.0001,3,0.0232,3,0.0017,3,0.0002
7,0.0003,3,0.0208,3,0.0021,3,0.0003
7,0.0001,3,0.0678,3,0.012,3,0.0003
7,0.0002,3,0.0344,3,0.0024,3,0.0004
2,0.0001,3,0.0258,3,0.0018,3,0.0002
1,0.0002,3,0.035,3,0.0018,1,0.0002
7,0.0001,3,0.0756,3,0.0021,3,0.0003
7,0.0002,3,0.0457,3,0.0026,3,0.0004
1,0.0003,3,0.0227,3,0.0017,3,0.0002
7,0.0001,3,0.0384,3,0.0027,3,0.0004
1,0.0002,3,0.0275,3,0.0017,3,0.0002
7,0.0001,3,0.0392,3,0.0023,3,0.0004
0,0.0002,0,0.0204,0,0.0016,1,0.0002
3,0.0001,3,0.0165,3,0.0019,7,0.0002
7,0.0001,3,0.0287,3,0.002,7,0.0002
3,0.0001,3,0.0146,3,0.0018,7,0.0002
7,0.0001,3,0.0208,3,0.002,7,0.0002
7,0.0002,3,0.0305,3,0.0029,7,0.0004
7,0.0001,3,0.0196,3,0.0022,7,0.0002
3,0.0001,3,0.0414,3,0.0015,7,0.0002
7,0.0001,7,0.0376,7,0.002,7,0.0003
7,0.0002,3,0.024,3,0.0027,7,0.0004
3,0.0001,3,0.0116,3,0.0016,3,0.0002
7,0.0001,3,0.0142,3,0.0022,7,0.0003
3,0.0001,3,0.0189,3,0.0024,7,0.0002
