polyglot,time,langDedect,time,langid,time,fasttext,time
7,0.0002,3,0.0298,7,0.0034,7,0.0004
2,0.0001,1,0.0284,2,0.0026,7,0.0003
2,0.0002,2,0.0309,2,0.0027,7,0.0003
7,0.0002,7,0.028,7,0.0034,7,0.0004
2,0.0001,2,0.041,2,0.0026,2,0.0003
2,0.0001,1,0.0242,1,0.0028,7,0.0003
1,0.0003,1,0.0492,0,0.0033,7,0.0004
2,0.0001,2,0.0323,2,0.0026,7,0.0003
7,0.0002,3,0.0329,3,0.0044,7,0.0006
2,0.0002,2,0.0568,7,0.0029,7,0.0003
2,0.0001,1,0.0309,7,0.0027,7,0.0003
7,0.0002,7,0.0456,3,0.0037,7,0.0004
7,0.0003,3,0.0402,3,0.0054,7,0.0009
2,0.0001,2,0.0389,7,0.0028,7,0.0004
2,0.0001,2,0.0255,7,0.0066,7,0.0004
7,0.0004,3,0.0368,3,0.0073,7,0.0011
2,0.0002,1,0.0286,1,0.0028,7,0.0003
1,0.0003,1,0.0585,3,0.0056,2,0.0004
2,0.0002,2,0.0263,7,0.0025,7,0.0003
7,0.0002,3,0.0333,3,0.0096,3,0.0005
7,0.0002,7,0.0447,3,0.0032,3,0.0004
1,0.0001,1,0.0252,1,0.0027,2,0.0003
1,0.0001,1,0.0281,1,0.0027,2,0.0003
7,0.0002,2,0.045,3,0.005,7,0.0004
7,0.0002,7,0.0383,3,0.0035,3,0.0004
7,0.0003,7,0.0493,3,0.0059,7,0.0006
2,0.0002,1,0.0441,2,0.0026,7,0.0003
7,0.0002,3,0.0499,3,0.0036,3,0.0005
7,0.0002,3,0.039,7,0.0038,7,0.0006
2,0.0002,2,0.0389,7,0.0028,3,0.0003
2,0.0001,2,0.031,2,0.0027,7,0.0002
2,0.0001,2,0.0282,2,0.0026,7,0.0003
7,0.0002,3,0.033,3,0.0037,7,0.0005
7,0.0002,3,0.0523,3,0.0035,7,0.0005
7,0.0002,3,0.0251,3,0.0036,7,0.0006
7,0.0002,7,0.034,7,0.0078,7,0.0003
7,0.0001,3,0.0261,3,0.004,7,0.0003
7,0.0002,3,0.0605,3,0.0106,7,0.0007
7,0.0002,3,0.0226,3,0.0029,7,0.0003
7,0.0002,3,0.0323,3,0.0069,3,0.0009
7,0.0001,3,0.0225,3,0.0026,7,0.0003
7,0.0002,3,0.0184,3,0.0032,7,0.0003
7,0.0002,3,0.0223,3,0.003,7,0.0003
7,0.0002,3,0.023,3,0.0037,7,0.0005
7,0.0001,7,0.04,3,0.0024,3,0.0003
7,0.0001,3,0.015,3,0.0022,7,0.0002
7,0.0001,3,0.025,3,0.0022,3,0.0002
7,0.0001,3,0.028,3,0.0021,3,0.0002
7,0.0002,3,0.031,3,0.0039,3,0.0006
7,0.0002,3,0.0337,3,0.0031,3,0.0005
7,0.0001,3,0.0277,3,0.0021,3,0.0002
7,0.0001,3,0.0223,3,0.0027,3,0.0003
7,0.0001,3,0.0246,3,0.003,3,0.0004
7,0.0001,3,0.0306,3,0.0023,3,0.0003
7,0.0002,3,0.043,3,0.0053,3,0.0003
7,0.0001,3,0.0218,3,0.0025,3,0.0003
7,0.0001,3,0.028,3,0.0022,3,0.0003
1,0.0002,3,0.0389,0,0.0025,0,0.0003
7,0.0002,3,0.0335,3,0.0036,3,0.0007
7,0.0001,3,0.0306,3,0.0022,3,0.0003
7,0.0002,3,0.0375,3,0.0049,3,0.0005
1,0.0001,3,0.0397,7,0.0055,1,0.0003
1,0.0001,3,0.0394,2,0.002,3,0.0003
7,0.0001,3,0.0535,3,0.0021,3,0.0003
3,0.0002,3,0.0522,3,0.0036,3,0.0007
7,0.0001,3,0.0255,3,0.0025,3,0.0004
1,0.0001,1,0.0306,7,0.0021,7,0.0002
